t,ID_Tag,ID_Anchor,range
6.7,1,10,8.55494299883658
6.8,1,10,8.60752126526645
6.9,1,10,8.46497806474489
7,1,10,8.50684812172033
7.1,1,10,8.61610548491941
7.2,1,10,8.55406220756029
7.3,1,10,8.72461349237394
7.4,1,10,8.74942982293553
7.5,1,10,5.88374780040234
7.6,1,10,9.09962560085896
7.7,1,10,9.36219952371815
7.8,1,10,14.4153829418696
7.9,1,10,9.52452463820515
8,1,10,9.65070326205702
8.1,1,10,9.87648410435551
8.2,1,10,11.161933827401
8.3,1,10,10.274524221889
8.4,1,10,10.6433437934237
8.5,1,10,11.6848090509461
8.6,1,10,8.04995447030284
8.7,1,10,11.0328179880651
8.8,1,10,11.0973970375273
8.9,1,10,11.3598888268275
9,1,10,11.4015125632205
9.1,1,10,11.5236499833318
9.2,1,10,11.55263386478
9.3,1,10,11.6302173557102
9.4,1,10,11.7856205324604
9.5,1,10,12.0199415900775
9.6,1,10,12.110030196154
9.7,1,10,12.3827709401151
9.8,1,10,12.4203117602399
9.9,1,10,12.9497792291816
10,1,10,13.2602423272067
10.1,1,10,13.4925295350022
10.2,1,10,13.6879812867183
10.3,1,10,13.8366161868146
10.4,1,10,14.1543171999624
10.5,1,10,14.6223645961567
10.6,1,10,14.6106633704071
10.7,1,10,14.6529762970455
10.8,1,10,14.8237765225838
10.9,1,10,14.995452767571
11,1,10,15.2105393657008
11.1,1,10,15.294130579866
11.2,1,10,15.1611930011285
11.3,1,10,15.2738073260206
11.4,1,10,11.5920123609168
11.5,1,10,15.6888562280166
11.6,1,10,15.7243017583624
11.7,1,10,19.0974107102953
11.8,1,10,16.1358437446117
11.9,1,10,16.2362223415187
12,1,10,18.9099554235342
12.1,1,10,18.8408226195367
12.2,1,10,13.1966500887146
12.3,1,10,17.5245095184928
12.4,1,10,17.9302630101044
12.5,1,10,18.2328348640587
12.6,1,10,18.4559577077808
12.7,1,10,18.859217260542
12.8,1,10,19.1032457987747
12.9,1,10,17.6252120043871
13,1,10,19.8212368332715
13.1,1,10,20.207595469248
13.2,1,10,20.5274686609383
13.3,1,10,20.6792583699701
13.4,1,10,16.7391731585574
13.5,1,10,20.8736868380455
13.6,1,10,20.8450862431223
13.7,1,10,24.6888838557766
13.8,1,10,20.4706501409101
13.9,1,10,20.5192764803027
14,1,10,17.2310712936162
14.1,1,10,20.2031491830996
14.2,1,10,20.2586595068346
14.3,1,10,20.1570109261237
14.4,1,10,20.1396687129713
14.5,1,10,20.3251550208144
14.6,1,10,20.4686104157929
14.7,1,10,20.7192443215695
14.8,1,10,21.0145032385393
14.9,1,10,21.2735058013987
15,1,10,21.4302828572765
15.1,1,10,21.7226784905568
15.2,1,10,24.2104100644468
15.3,1,10,22.5115744064307
15.4,1,10,22.4563687488462
15.5,1,10,22.8120239827448
15.6,1,10,22.8534398634345
15.7,1,10,23.1258451426617
15.8,1,10,23.2147380195962
15.9,1,10,23.6437445277357
16,1,10,23.8052663013188
16.1,1,10,23.8830964966425
16.2,1,10,23.8360363879296
16.3,1,10,23.8580368040257
16.4,1,10,24.0955964543078
16.5,1,10,23.8927662842131
16.6,1,10,23.9791118076103
16.7,1,10,23.8890829977957
16.8,1,10,23.750227573051
16.9,1,10,24.0634554350046
17,1,10,28.9335215116351
17.1,1,10,23.7913327403469
17.2,1,10,23.8990249742284
17.3,1,10,23.8694496651269
17.4,1,10,24.124350960694
17.5,1,10,24.2003364596626
17.6,1,10,24.4121804585782
17.7,1,10,24.6081279645179
17.8,1,10,24.7450843179651
17.9,1,10,24.5846008212057
18,1,10,26.6705038187511
18.1,1,10,24.8858071372082
18.2,1,10,24.632889396828
18.3,1,10,24.6448378434983
18.4,1,10,24.3041325732057
18.5,1,10,25.6948187960824
18.6,1,10,23.4770859530812
18.7,1,10,22.8879285096059
18.8,1,10,22.327408208688
18.9,1,10,21.9330037054543
19,1,10,21.486041817427
19.1,1,10,21.0005443577103
19.2,1,10,20.9506792307767
19.3,1,10,20.8503208205896
19.4,1,10,20.754344343941
19.5,1,10,20.9571725443067
19.6,1,10,21.2849051191179
19.7,1,10,21.2642514252612
19.8,1,10,21.6127757590986
19.9,1,10,21.9011550736658
20,1,10,22.1217949004456
20.1,1,10,19.2671604102081
20.2,1,10,25.2840393597551
20.3,1,10,22.5004953593556
20.4,1,10,18.4229105507038
20.5,1,10,22.2257425729048
20.6,1,10,22.1262285152288
20.7,1,10,21.7461174393667
20.8,1,10,21.7767949315929
20.9,1,10,21.486393094678
21,1,10,21.3401648369367
21.1,1,10,21.151151167438
21.2,1,10,21.0912681447957
21.3,1,10,20.8350289255868
21.4,1,10,20.9644231410445
21.5,1,10,21.1573544853642
21.6,1,10,21.1176558580304
21.7,1,10,21.2005512438648
