t,ID_Tag,x,y,z
5.4,1,-2.69541540108905,-0.580196537815342,4.92708855675629
5.5,1,-2.11133142888779,-0.704566925620794,5.09228100240679
5.6,1,-2.05286985294177,-1.03606413139554,5.21484922837541
5.7,1,-2.0869012002114,-1.50980440161478,5.20296690298413
5.8,1,-2.25500945395735,-2.20742307119807,4.85804497608568
5.9,1,-2.80071056430454,-2.73438712360046,4.5743661189854
6,1,-3.0690940949465,-3.432312551064,4.3695607107982
6.1,1,-3.39365000740897,-3.93362982451819,4.07549442576098
6.2,1,-3.24152129863493,-4.57391891340394,4.21307476120895
6.3,1,-2.88154936955671,-4.91354073113105,4.38736507641314
6.4,1,-2.36570222120683,-5.06713483031209,4.70899647340823
6.5,1,-1.7509115843662,-5.22636413531026,4.79589884012303
6.6,1,-1.1517503988314,-5.21374948422108,5.00198106628903
6.7,1,-0.732468105147052,-5.1385499700238,4.84840802604537
6.8,1,-0.0725660325863065,-5.07152880450932,4.66218513960184
6.9,1,0.351042792047302,-4.95056563928635,4.41785560850835
7,1,0.45311796622554,-4.75036599872171,4.47675048273854
7.1,1,1.02434496135377,-4.6532606673845,4.40054603426508
7.2,1,1.32658166310268,-4.745480935735,4.6327509792094
7.3,1,1.79397171213163,-4.83530120057118,5.05190626938179
7.4,1,2.28314264683425,-4.84344494624659,5.09394825068552
7.5,1,2.49299044903789,-4.97967437535527,5.35485156297098
7.6,1,2.94953465977318,-4.83139929911966,5.08808038659946
7.7,1,3.32397953498685,-4.63387049039775,4.74828991489057
7.8,1,3.62692624812192,-4.42255468782053,4.48068766401657
7.9,1,4.11712665833009,-4.01202615708544,4.06725542805997
8,1,4.67682137114139,-3.80239980999839,4.0375905556573
8.1,1,5.29054167931856,-3.51708403392459,3.99102709508506
8.2,1,5.77071223419614,-3.02215849696332,4.23843258133275
8.3,1,6.21657523240444,-2.81030996152684,4.53330829021529
8.4,1,6.15629154842389,-2.39306887412147,4.68759733102579
8.5,1,5.74565671553422,-1.93450555922483,4.90715158649304
8.6,1,4.89699226445936,-1.43928610064117,5.06996320059374
8.7,1,3.73015755459739,-0.946194670514897,5.1525524291204
8.8,1,2.51592474658553,-0.466353208977161,5.0761602995864
8.9,1,1.26736526826171,-0.141481344056524,4.88221829977094
9,1,0.628797708737818,0.192833031912898,4.58370638078055
9.1,1,0.285096787773221,0.404555754966231,4.19121582059285
9.2,1,0.181632167917962,0.308057060390805,3.59509748195837
9.3,1,0.464659035868444,0.330774924708041,2.99160399160729
9.4,1,0.930398293880272,0.217512270115055,2.46626617224565
9.5,1,1.16626185855276,0.0306990747199487,1.88865386412695
9.6,1,1.62462070842864,-0.035690006291067,1.24630270990054
9.7,1,1.66932364719778,0.0274678024751962,0.658892322865471
9.8,1,1.517784392599,-0.0930807611141761,0.264357343049124
9.9,1,0.93955224786705,-0.0356437088344877,0.00173151772676214
0,2,-0.665675694603505,0.0828070923364899,0.209318205915505
0.1,2,-0.570116233208804,0.254820526858242,0.717849210255784
0.2,2,-0.564854658026836,0.288414651745401,1.30011055479298
0.3,2,-0.667219938852631,0.541908772045351,2.09686633102858
0.4,2,-0.925349843828145,0.554961045419668,2.74358694589459
0.5,2,-1.03829251884712,0.668495753885546,3.57247548883448
0.6,2,-1.27753830810227,0.672710272953318,4.21963482137899
0.7,2,-1.20891622151114,0.76458824021333,4.84111941292009
0.8,2,-0.943334984229928,0.630680867545292,5.20435335448794
0.9,2,-0.550069756762859,0.632663414658421,5.3422584083096
1,2,0.326247450501221,0.424210262958849,5.43380965488885
1.1,2,1.15366213431955,0.318989527425894,5.15506267514397
1.2,2,2.04667439339105,0.20389873343929,5.07793561145164
1.3,2,2.89589415340798,0.121547425083605,4.97011030273136
1.4,2,3.54580330031328,0.37768396540826,5.19090996407337
1.5,2,3.82140233574202,0.668704250207304,5.51940818020667
1.6,2,3.98290555499729,1.0541400966131,5.70623001778126
1.7,2,4.00096767049266,1.59829232206036,6.08048885572082
1.8,2,4.06957211361834,2.16908751655732,6.09583300414262
1.9,2,4.10747995569323,2.696110121825,6.0685806361884
2,2,4.09799790851501,3.19685892995805,5.82673946517699
2.1,2,3.9258532043156,3.71796588494107,5.56771857744233
2.2,2,3.63436996386133,4.01997466603,5.21341817887597
2.3,2,3.26417806197486,4.24511250268094,5.07802808518998
2.4,2,2.56315923626787,4.12483428544233,4.99991054509349
2.5,2,1.92617136161405,3.8581189233976,5.10505183205068
