t,ID_Tag,x,y,z
0,1,1.44778863781686,-0.0645902065071296,0.089403662270602
0.1,1,1.81147411566633,-0.173135894803464,0.242680531663352
0.2,1,1.98366594541736,-0.153010385106728,0.635595639061942
0.3,1,1.88840099981901,-0.120465081086112,0.996377460047907
0.4,1,1.82086311941812,-0.231710234566648,1.37376290437743
0.5,1,1.70606196498594,-0.0853955318240382,1.79879864768951
0.6,1,1.386803936585,-0.156295595488242,2.12959445364914
0.7,1,1.19964241990458,-0.0290760278807362,2.55909432692015
0.8,1,0.768284743602164,0.0332694138035507,2.98663551705427
0.9,1,0.499234679936583,0.0469300880564669,3.39946637537571
1,1,0.267032291547464,0.00926181943290302,3.70604793978311
1.1,1,0.0722590791776905,0.0275992174968865,4.27136751653601
1.2,1,-0.246825278310525,0.0981389869195999,4.50338181481168
1.3,1,-0.492882944849828,0.085261614979437,4.84526497650843
1.4,1,-0.489772729239071,0.094604159071712,5.13081555009707
1.5,1,-0.62562767543999,0.137089568248868,5.39333138682147
1.6,1,-0.396471370747894,0.0542466809540001,5.62515556579403
1.7,1,-0.0743531714373418,0.132232449832842,5.66155075661081
1.8,1,0.384045395678538,0.0379433273455052,5.77113015569025
1.9,1,1.01862026429651,0.0132716002949298,5.78528969196022
2,1,1.80294195325972,0.0446010241486866,5.66805623036367
2.1,1,2.71472053160336,0.079314963789106,5.5413583043957
2.2,1,3.53431362828579,0.0973345151656179,5.31323098596877
2.3,1,4.54776032594351,0.0834397317889032,5.00856523806084
2.4,1,5.51853947688422,-0.0151417515550614,4.81561315697268
2.5,1,6.48046578852934,0.0251556495520881,4.66023189268597
2.6,1,7.25711024561235,0.0807090085940518,4.58366872027847
2.7,1,7.97823397676695,0.0596051157768521,4.44717822470427
2.8,1,8.397113187226,0.161187181782265,4.46174525037606
2.9,1,8.82447067645745,0.144887406704593,4.58322604544705
3,1,9.08995730948874,0.303383842806887,4.76451761072533
3.1,1,9.08894699922204,0.427149142625927,5.07938390596132
3.2,1,8.85348259413063,0.522754170662223,5.31526675665138
3.3,1,8.7320451350561,0.731896723413857,5.57586833358099
3.4,1,8.5830441461715,1.04600924983537,5.81732730668955
3.5,1,8.36721403296201,1.24757894630297,6.11876029961861
3.6,1,7.96839588484858,1.33147652200877,6.27859163644941
3.7,1,7.80068638332287,1.53931297110677,6.46070807009835
3.8,1,7.79617421868413,1.83306515661633,6.36366641180286
3.9,1,7.80075438539271,2.03545111434724,6.22269324802743
4,1,7.81498282377396,2.34080018198923,6.2115764849962
4.1,1,7.92199588701573,2.55543532855492,6.03760711536195
4.2,1,8.02741520894515,2.83613987713478,5.89509908599735
4.3,1,8.17580270644872,2.98927103483477,5.58993165191153
4.4,1,8.20762402889538,3.26703678353224,5.42064294664908
4.5,1,8.3978920435599,3.32855858101733,5.16396788613767
4.6,1,8.39735513185066,3.51970658824641,5.08215436824995
4.7,1,8.29867918509706,3.63240871392381,5.09805839190049
4.8,1,8.34183194905093,3.75820310691744,5.04917873745322
4.9,1,7.99290583938263,3.78095483532909,5.01819611194869
5,1,7.72196909370282,3.97707984253313,5.25365455317584
5.1,1,7.47736923362622,3.9532204962852,5.3604988769018
5.2,1,7.10071158087146,4.03829641060451,5.61597176970668
5.3,1,6.74119690682637,4.00210169035318,5.78364589235422
5.4,1,6.38431897867834,4.02355162996406,5.89612461218789
5.5,1,6.19548317960479,4.19406616016776,6.05100996902078
5.6,1,5.79175956961697,4.16313714569326,6.07048640526777
5.7,1,5.4881510342723,4.39316353692127,6.16244003136863
5.8,1,5.51830896305984,4.58153265413579,6.20573345427806
5.9,1,5.25542384621409,4.84947560467179,6.08058286509508
6,1,5.35790088720182,5.09689584310832,5.78097539341964
6.1,1,5.28760519621441,5.38219906225994,5.68880933819205
6.2,1,5.45005713199226,5.78788877163407,5.56139434893644
6.3,1,5.52056677031492,5.93255676838953,5.37060931950131
6.4,1,5.34356088942792,6.24773433454029,5.14521728622163
6.5,1,5.44402195056974,6.6692689368838,5.01270138129279
6.6,1,5.44430962359339,6.80602225209987,5.04490732660498
6.7,1,5.31734080947373,6.96804083231487,5.09691364498679
6.8,1,5.23115551535275,7.05818202660096,5.12821864119128
6.9,1,5.06746899341736,7.12364025930123,5.35084511572629
7,1,4.80754092757741,7.158719849064,5.36115472850613
7.1,1,4.64635921934076,7.06863018713139,5.56198222985436
7.2,1,4.41888497552191,7.0805101911997,5.83561227128641
7.3,1,4.15595386634535,7.1490258066847,5.98843661915789
7.4,1,3.99359925876885,7.12048323651761,6.0843787799139
7.5,1,3.76434033883626,7.18546501092814,6.31803021967544
